hour	text	text_posTagged	hasMedia	hasHashtag	followers_count	sentiment	emojis	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	retweet_count	favourite_count
3	are red violets are blue if you want to buy us here is a clue our eye amp cheek palette is al	VBP JJ NNS VBP JJ IN PRP VBP TO VB PRP RB VBZ DT JJ PRP$ NN NN NN NN VBZ JJ	0	1	801745	0.0772	1	0	1	0	0	0	1	0	0	17	181
1	is it too late now to say sorry	VBZ PRP RB RB RB TO VB NN	1	1	801745	0.0	1	0	0	0	0	0	1	0	0	94	408
1	oh no please email your order to social amp we can help this is a newest offer	UH DT VB VB PRP$ NN TO JJ IN PRP MD VB DT VBZ DT NN NN	0	0	801745	0.5684	1	0	0	0	0	0	0	0	0	0	0
1	its best applied with our buffer brush	PRP$ JJS VBN IN PRP$ NN NN	0	0	801745	0.6696	1	0	0	0	0	0	0	0	0	0	0
1	dead	JJ	0	0	801745	-0.7213	1	0	0	0	0	0	0	0	0	0	14
23	our amazonian clay full coverage foundation comes in 40 shades of creamy goodness a longwear finish that is	PRP$ JJ NN JJ NN NN VBZ IN CD NNS IN JJ NN DT JJ NN WDT VBZ	0	1	801745	0.5093	0	0	1	0	0	1	0	1	1	13	115
20	which one are you	WDT CD VBP PRP	1	1	801745	0.0	1	0	0	0	0	0	0	0	0	88	384
19	rt got winter wanderlust swap the for with holiday in paradise collection packed with gilded pineapple pal	NN VBD NN NN NN DT IN IN NN IN NN NN VBD IN JJ NN NN	0	0	801745	0.7845	1	0	1	0	0	1	0	0	0	37	0
19	tartelettes peep our ig story for	NNS VBP PRP$ JJ NN IN	1	1	801745	0.0	1	0	0	0	0	0	0	0	0	3	51
18	rt nothing quite as pretty as a clutter	NN NN RB RB RB IN DT NN	1	1	801745	-0.428	0	0	1	0	0	1	0	0	1	10	0
17	hot deal alert pick up our shape tape matte or hydrating foundation for only 23 usd at shop	JJ NN NN NN RP PRP$ NN NN NN CC VBG NN IN RB CD NNS IN NN	0	0	801745	0.0	1	1	1	0	0	1	0	1	1	11	88
16	want to learn 2 ways to get with our busy gal brows tinted brow gel then head on over to igtv to l	NN TO VB CD NNS TO VB IN PRP$ JJ JJ NNS VBD NN NN RB NN IN IN TO VB TO VB	0	1	801745	0.3058	1	0	0	0	0	0	0	0	0	1	68
15	please dm us your email address amp we can help	VB VB PRP PRP$ NN NN IN PRP MD VB	0	0	801745	0.6124	1	0	0	0	0	0	0	0	0	0	0
14	the flamingo and pineapplethemed palettes products and tools are bright fun and everything you need to escap	DT NN CC VBN NNS NNS CC NNS VBP JJ NN CC NN PRP VBP TO VB	0	0	801745	0.7351	0	0	1	0	0	1	0	0	0	28	255
14	oh no please email social amp our cs team can help	UH DT VB JJ JJ IN PRP$ NN NN MD VB	0	0	801745	0.4753	1	0	0	0	0	0	0	0	1	0	0
14	available online at ulta	JJ NN IN JJ	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	0	1
14	was there an issue with your order if so please email social amp we can help asap	VBD EX DT NN IN PRP$ NN IN RB JJ JJ JJ IN PRP MD VB VB	0	0	801745	0.6899	1	0	0	0	0	0	0	0	0	0	0
11	treat your lids to the sparkles it deserves with our new mermaid shine metallic seaglass eyeshadow set a fourpiec	VB PRP$ NNS TO DT NNS PRP VBZ IN PRP$ JJ VBN JJ JJ NN NN NN DT NN	0	0	801745	0.6476	0	1	1	1	1	1	1	1	1	13	143
3	hits like 100x	NNS IN CD	1	1	801745	0.4995	1	0	0	0	0	0	0	0	0	73	591
1	simple glitter cut crease comin in hot deets toast the good life eye brush set amazonian clay 12hr blush in	NN NN VBD JJ NN IN JJ NNS VBD DT JJ NN NN NN VBN JJ NN CD NN IN	0	0	801745	-0.2244	1	1	1	1	0	3	0	1	1	26	274
22	we recommend bringing it back to the store amp they can better assist	PRP VBP VBG PRP RB TO DT NN IN PRP MD VB VB	0	0	801745	0.69	1	0	1	0	0	0	0	0	2	0	0
22	rt thanks for saving my life with shape tape foundation i got it at ultas sale and im lovinnnnng it	NN NNS IN VBG PRP$ NN IN NN NN NN NN VBD PRP IN JJ NN CC NN NN PRP	0	0	801745	0.4404	0	0	0	0	0	0	0	0	0	3	0
21	this brush is the best i have ever tried its extremely soft and gives a perfect finish it also allows you to us	DT NN VBZ DT JJS NN VBP RB VBN PRP$ RB JJ CC VBZ DT JJ NN PRP RB VBZ PRP TO PRP	0	0	801745	0.836	0	0	1	0	0	1	0	0	1	9	79
21	rt creaseless under eye concealer works miracles that no other concealer ive worn has done before	NN NN IN NN NN VBZ NNS IN DT JJ NN JJ NN VBZ VBN IN	0	0	801745	-0.5267	0	0	0	0	0	0	1	0	0	1	0
20	ships to canada	NNS TO VB	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	1	5
20	rt i have to admit i greatly appreciate tarte drink of h2o to hydrate my skin daily	NN NNS VBP TO VB JJ RB VBP JJ NN IN NN TO VB PRP$ JJ JJ	0	0	801745	0.623	1	0	1	0	0	0	0	0	0	5	0
20	rt ok so i finally joined the movement and got shape tape concealer and omg so good brb got ta get the found	NN VBZ RB JJ RB VBD DT NN CC VBD NN NN NN CC NN RB JJ NN VBD JJ VB DT NN	0	0	801745	0.7133	0	0	2	1	0	3	0	2	3	5	0
20	ships to the uk you can also find our products on	NNS TO DT NN PRP MD RB VB PRP$ NNS IN	0	0	801745	0.4753	1	0	0	0	0	0	0	0	0	0	0
20	this tarte lippie is the perfect color pout for fall cc	DT NN NN VBZ DT JJ NN NN IN NN NN	0	0	801745	0.8143	1	0	1	0	0	1	1	0	1	4	85
19	cant wait for you to get your goodies	JJ NN IN PRP TO VB PRP$ NNS	0	0	801745	0.0	1	0	1	0	0	0	0	0	0	0	0
18	oh no please dm us your email address amp order so we can help	UH DT VB VB PRP PRP$ NN NN JJ NN IN PRP MD VB	0	0	801745	0.1739	1	0	0	0	0	0	0	0	0	0	0
17	oh no please email us at social so we can help asap	UH DT VB VB PRP IN JJ IN PRP MD VB VB	0	0	801745	0.5644	1	0	0	0	0	0	0	0	0	0	0
17	yasss girl	NNS NN	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	0	1
17	oh no please email us with your order number to social so we can help you asap	UH DT VB VB PRP IN PRP$ NN NN TO JJ IN PRP MD VB PRP VB	0	0	801745	0.6056	1	0	0	0	0	0	0	0	0	0	0
17	jen uses the shade black brown	NN VBZ DT JJ JJ NN	0	0	801745	0.0	0	0	0	0	0	0	1	0	0	0	1
17	oh no please email us your order number to social so we can help asap we do recommend usin	UH DT VB VB PRP PRP$ NN NN TO JJ IN PRP MD VB VB PRP VBP VB NN	0	0	801745	0.7542	0	0	0	0	0	0	0	0	1	0	0
17	rt um hello i just took a nap in my new tarte eyeliner and no smudge and still sharp	NN JJ NN NN RB VBD DT NN IN PRP$ JJ JJ NN CC DT NN CC RB JJ	0	0	801745	-0.296	1	0	0	0	0	1	0	0	0	3	0
17	yaasssssss	NN	0	0	801745	0.0	0	0	0	0	0	0	0	0	0	0	3
16	the moment you all have been waiting for our pineapple of my eye collectors set amp a bunch of other holiday ne	DT NN PRP DT VBP VBN VBG IN PRP$ NN IN PRP$ NN NNS VBD RP DT NN IN JJ NN IN	0	0	801745	0.4019	0	0	1	0	0	1	0	0	0	51	289
14	its a life saver	PRP$ DT NN NN	0	0	801745	0.0	0	0	0	0	0	0	0	0	0	0	1
14	yay so happy you love it	NN RB JJ PRP VBP PRP	0	0	801745	0.9472	1	0	1	0	0	2	0	0	1	0	1
14	oh no please email us at social with your order number so we can help asap lt3	UH DT VB VB PRP IN JJ IN PRP$ NN NN IN PRP MD VB VB NN	0	0	801745	0.6056	0	0	0	0	0	0	0	0	0	0	0
3	me every night	PRP DT NN	1	1	801745	0.0	1	0	0	0	0	0	0	0	0	250	780
1	our new life of the party clay blush palette amp clutch has us livin on island time includes 3 amazonian clay	PRP$ JJ NN IN DT NN NN NN NN NN NN VBZ PRP VBN IN NN NN VBZ CD JJ NN	0	0	801745	0.4574	1	0	1	0	0	0	0	0	0	26	264
23	only a few hours left to enter	RB DT JJ NNS VBD TO VB	0	0	801745	0.0	1	0	0	0	0	0	0	0	0	34	248
23	the perfect everyday lash enhance your peepers with our amp latexfree tarteist pro crueltyfree lashes in	DT JJ JJ JJ VB PRP$ NNS IN PRP$ NNS VBP JJ JJ NN NNS IN	0	1	801745	0.87	1	1	1	0	1	1	0	0	1	7	133
20	self care life	NN NN NN	1	1	801745	0.4939	1	0	0	0	0	0	0	0	0	172	749
